simbad_MAIN_ID,simbad_RA_ICRS,simbad_DEC_ICRS,simbad_ID_HD,simbad_SP_TYPE,simbad_OTYPE,simbad_OTYPE_V,simbad_OTYPE_3,simbad_RA_current,simbad_DEC_current,DEC,RA,simbad_separation_RADEC_ICRSJ2000,simbad_separation_RADEC_current,simbad_FLUX_V,simbad_PMRA,simbad_PMDEC,simbad_FLUX_R,simbad_FLUX_G,simbad_FLUX_J,simbad_FLUX_H,simbad_FLUX_K,simbad_FLUX_I,visible_from_Paranal
2MASS J04322329+2403013,04 32 23.3105,+24 03 01.465,,M8.9,TTau*,T Tau-type Star,TT*,04 32 23.3125,+24 03 01.450,24 03 01.4657,4 32 23.3106,0.0011725413118624053,0.03081006721503158,,7.361,-22.425,,16.780000686645508,12.335000038146973,11.690999984741211,11.32699966430664,,True
[BLH2002] KPNO-Tau 14,04 33 07.8106,+26 16 06.562,,M6Ve,YSO,Young Stellar Object,Y*O,04 33 07.8126,+26 16 06.547,26 16 06.5627,4 33 07.8106,0.0008424482562773367,0.03075136116916773,20.735000610351562,7.168,-17.312,,16.79789924621582,11.906999588012695,10.805000305175781,10.269000053405762,,True
2MASS J04344544+2308027,04 34 45.4450,+23 08 02.676,,M5.25,YSO,Young Stellar Object,Y*O,04 34 45.4470,+23 08 02.661,23 08 02.6769,4 34 45.445,0.0009992249528388423,0.03149457783570019,,10.958,-17.55,18.200000762939453,16.80340003967285,12.809000015258789,12.024999618530273,11.70199966430664,16.0,True
2MASS J16085529-3848481,16 08 55.2905,-38 48 48.173,,M6.5,YSO,Young Stellar Object,Y*O,16 08 55.2929,-38 48 48.160,-38 48 48.1738,16 08 55.2905,0.0007962196553105032,0.03124313880770807,,-11.322,-23.643,17.239999771118164,16.829200744628906,12.989999771118164,12.397000312805176,12.017000198364258,15.239999771118164,True
2MASS J16095628-3859518,16 09 56.2955,-38 59 51.582,,M6,YSO,Young Stellar Object,Y*O,16 09 56.2980,-38 59 51.569,-38 59 51.5828,16 09 56.2956,0.0012153436119445309,0.03138329038737049,18.0,-9.153,-24.163,16.489999771118164,16.85059928894043,13.010000228881836,12.392000198364258,11.989999771118164,15.279999732971191,True
SONYC Lup3-29,16 10 01.3309,-39 06 44.824,,M7.5,YSO,Young Stellar Object,Y*O,16 10 01.3334,-39 06 44.811,-39 06 44.8249,16 10 01.331,0.0013952471308628755,0.031240722399122393,17.420000076293945,-9.356,-23.405,17.899999618530273,16.85460090637207,12.20199966430664,11.145999908447266,10.52299976348877,15.270000457763672,True
[BLH2002] KPNO-Tau  5,04 29 45.6733,+26 30 46.559,,M7.5Ve,low-mass*,Low-mass star (M<1solMass),LM*,04 29 45.6754,+26 30 46.544,26 30 46.5595,4 29 45.6734,0.000913998433243905,0.031521143797870424,19.690000534057617,6.868,-20.967,19.100000381469727,16.883800506591797,12.640000343322754,11.918000221252441,11.53600025177002,15.079999923706055,True
2MASS J04213965+2649143,04 21 39.6483,+26 49 14.059,,M6,YSO,Young Stellar Object,Y*O,04 21 39.6503,+26 49 14.045,26 49 14.0598,4 21 39.6483,0.0007995835423532864,0.030410920428032895,,10.667,-18.084,,16.89739990234375,12.645999908447266,11.871000289916992,11.49899959564209,,True
NAME JH 223B,04 40 49.4608,+25 51 21.004,,,Star,Star,*,04 40 49.4629,+25 51 20.989,25 51 21.0049,4 40 49.4609,0.0014980802073784767,0.031444071611695046,,4.425,-19.43,,16.89889907836914,,,,,True
2MASS J04161885+2752155,04 16 18.8592,+27 52 15.375,,M8.0,TTau*,T Tau-type Star,TT*,04 16 18.8613,+27 52 15.362,27 52 15.3759,4 16 18.8593,0.0013599159523238046,0.030259662464212477,,7.469,-24.929,,16.91629981994629,12.545999526977539,11.779999732971191,11.352999687194824,,True
[BLH2002] KPNO-Tau  8,04 35 41.8388,+22 34 11.595,,M6Ve,YSO,Young Stellar Object,Y*O,04 35 41.8408,+22 34 11.579,22 34 11.5952,4 35 41.8389,0.0010352159634453156,0.031205293956509363,19.26099967956543,10.962,-17.962,,16.91670036315918,12.946000099182129,12.366999626159668,11.984999656677246,,True
V* HK Cha,11 07 42.3440,-77 33 59.381,,,Orion_V*,Variable Star of Orion Type,Or*,11 07 42.3508,-77 33 59.395,-77 33 59.382,11 07 42.3441,0.0010050214967264957,0.02529489439491995,19.799999237060547,,,,16.92770004272461,12.210000038146973,11.243000030517578,10.675000190734863,15.260000228881836,True
2MASS J04190197+2822332,04 19 01.9773,+28 22 33.268,,M5.5,TTau*,T Tau-type Star,TT*,04 19 01.9794,+28 22 33.254,28 22 33.2686,4 19 01.9773,0.000861607105921587,0.030758958575333912,,9.188,-25.756,,16.930299758911133,11.98900032043457,10.78499984741211,10.152999877929688,,True
2MASS J04295422+1754041,04 29 54.2253,+17 54 03.880,,M4,TTau*,T Tau-type Star,TT*,04 29 54.2271,+17 54 03.865,17 54 03.8803,4 29 54.2253,0.00043050155253363903,0.029684801226061652,,12.804,-17.272,,16.93120002746582,12.64799976348877,11.708000183105469,11.022000312805176,,True
BKLT J162527-243647,16 25 27.5835,-24 36 47.643,,,Candidate_YSO,Young Stellar Object Candidate,Y*?,16 25 27.5855,-24 36 47.629,-24 36 47.644,16 25 27.5835,0.0010594844597637465,0.030775519564299723,,-8.601,-24.808,,16.95319938659668,13.446000099182129,12.79699993133545,12.633000373840332,,True
[MDM2001] CFHT-BD-Tau  9,04 24 26.4612,+26 49 50.250,,M6IVe,low-mass*,Low-mass star (M<1solMass),LM*,04 24 26.4632,+26 49 50.236,26 49 50.2509,4 24 26.4612,0.0009204081858786855,0.030469304925430252,,11.579,-17.861,,16.959699630737305,12.883999824523926,12.192999839782715,11.763999938964844,15.350000381469727,True
2MASS J16121120-3832197,16 12 11.2110,-38 32 19.760,,,YSO,Young Stellar Object,Y*O,16 12 11.2134,-38 32 19.746,-38 32 19.7601,16 12 11.211,0.00035239108055574233,0.03118985151326526,,-2.795,-3.541,17.25,16.9606990814209,11.840999603271484,10.277999877929688,9.406000137329102,14.760000228881836,True
2MASS J04315968+1821305,04 31 59.6887,+18 21 30.360,,,YSO,Young Stellar Object,Y*O,04 31 59.6906,+18 21 30.345,18 21 30.3606,4 31 59.6887,0.0007629391124558407,0.030879431973380462,,10.367,-17.164,,16.976900100708008,12.255999565124512,10.92199993133545,10.03600025177002,,True
GSS 32,16 26 24.0521,-24 24 48.105,,K5-K6,TTau*,T Tau-type Star,TT*,16 26 24.0541,-24 24 48.090,-24 24 48.1051,16 26 24.0521,0.0003659644773207432,0.03091152195783487,,-9.649,-24.676,17.809999465942383,16.983299255371094,11.114999771118164,8.718000411987305,7.323999881744385,15.579999923706055,True
2MASS J04034997+2620382,04 03 49.9804,+26 20 38.212,,M6.3,YSO,Young Stellar Object,Y*O,04 03 49.9825,+26 20 38.199,26 20 38.2124,4 03 49.9805,0.0009407155016472284,0.030484098902839787,,14.212,-19.389,,16.984699249267578,13.279999732971191,12.65999984741211,12.336999893188477,,True
[BHS98] MHO  2,04 14 26.4022,+28 05 59.640,,M2.5,TTau*,T Tau-type Star,TT*,04 14 26.4043,+28 05 59.627,28 05 59.6409,4 14 26.4022,0.0009242182881270808,0.030760365701337847,,8.784,-25.726,,16.989200592041016,11.520000457763672,9.420000076293945,7.791999816894531,,True
Gaia DR2 6050944166501024256,16 25 32.5019,-23 26 27.011,,,Star,Star,*,16 25 32.5039,-23 26 26.996,-23 26 27.0115,16 25 32.502,0.0010919816313134274,0.03078911076573839,,-6.002,-26.294,,16.99020004272461,,,,,True
VSST 10,19 03 16.0915,-37 14 07.944,,,YSO,Young Stellar Object,Y*O,19 03 16.0932,-37 14 07.922,-37 14 07.9441,19 03 16.0916,0.0011933979163946677,0.029254515631801377,,-3.312,-34.081,,17.001800537109375,11.909000396728516,10.29800033569336,9.347000122070312,,True
VSST 10,19 03 16.0915,-37 14 07.944,,,YSO,Young Stellar Object,Y*O,19 03 16.0932,-37 14 07.922,-37 14 07.9441,19 03 16.0916,0.0011933979163946677,0.029254515631801377,,-3.312,-34.081,,17.001800537109375,11.909000396728516,10.29800033569336,9.347000122070312,,True
2MASS J04202555+2700355,04 20 25.5568,+27 00 35.548,,M5e,YSO,Young Stellar Object,Y*O,04 20 25.5589,+27 00 35.534,27 00 35.549,4 20 25.5568,0.0010901245008991822,0.03133933940886411,,11.351,-17.73,,17.033300399780273,12.861000061035156,12.005999565124512,11.508000373840332,,True
[RRN96] GG Tau b,04 32 30.3478,+17 31 29.403,,M7.5,Star,Star,*,04 32 30.3497,+17 31 29.388,17 31 29.4036,4 32 30.3479,0.000944726327273127,0.030649321953139668,,13.525,-19.557,,17.063199996948242,,,,,True
[RRN96] GG Tau b,04 32 30.3478,+17 31 29.403,,M7.5,Star,Star,*,04 32 30.3497,+17 31 29.388,17 31 29.4036,4 32 30.3479,0.000944726327273127,0.030649321953139668,,13.525,-19.557,,17.063199996948242,,,,,True
ISO-ChaI 143,11 08 22.3644,-77 30 27.790,,M5e,Candidate_YSO,Young Stellar Object Candidate,Y*?,11 08 22.3711,-77 30 27.803,-77 30 27.7906,11 08 22.3644,0.0005968133433072595,0.02500176456351431,,-22.743,0.725,,17.065000534057617,12.569999694824219,11.651000022888184,11.095000267028809,15.510000228881836,True
IRAS 04200+2759,04 23 07.7759,+28 05 57.471,,M2,YSO,Young Stellar Object,Y*O,04 23 07.7780,+28 05 57.457,28 05 57.4719,4 23 07.776,0.0012783120454346675,0.030685432919536786,,9.654,-27.014,,17.08139991760254,13.178999900817871,11.600000381469727,10.413000106811523,,True
2MASS J04163911+2858491,04 16 39.1285,+28 58 49.312,,M7.3,TTau*,T Tau-type Star,TT*,04 16 39.1307,+28 58 49.298,28 58 49.3124,4 16 39.1286,0.0010131209790036478,0.03144355311067046,,4.975,-15.0,,17.092599868774414,12.717000007629395,11.836000442504883,11.279000282287598,,True
NAME Bad 16B,04 30 50.3712,+23 00 08.617,,,Star,Star,*,04 30 50.3732,+23 00 08.602,23 00 08.6176,4 30 50.3713,0.0012635613326447343,0.030726213213005366,,10.59,-13.834,,17.095699310302734,,,,,True
NAME Bad 16B,04 30 50.3712,+23 00 08.617,,,Star,Star,*,04 30 50.3732,+23 00 08.602,23 00 08.6176,4 30 50.3713,0.0012635613326447343,0.030726213213005366,,10.59,-13.834,,17.095699310302734,,,,,True
2MASS J16101984-3836065,16 10 19.8339,-38 36 06.581,,M6.5,YSO,Young Stellar Object,Y*O,16 10 19.8363,-38 36 06.567,-38 36 06.5812,16 10 19.8339,0.0004399483864280463,0.03116154767756785,,-9.404,-25.563,16.760000228881836,17.158100128173828,13.279999732971191,12.649999618530273,12.317000389099121,15.569999694824219,True
2MASS J16313383-2404466,16 31 33.8411,-24 04 46.637,,,Candidate_YSO,Young Stellar Object Candidate,Y*?,16 31 33.8431,-24 04 46.622,-24 04 46.6374,16 31 33.8412,0.001038184511648292,0.03062227543891496,15.0,-9.081,-27.112,,17.1653995513916,12.526000022888184,11.00100040435791,10.048999786376953,,True
2MASS J04554801+3028050,04 55 48.0219,+30 28 04.835,,M5.5e,YSO,Young Stellar Object,Y*O,04 55 48.0240,+30 28 04.819,30 28 04.8357,4 55 48.022,0.0014578727047334756,0.030805273239221546,,4.602,-23.697,,17.172000885009766,13.180000305175781,12.588000297546387,12.154999732971191,,True
2MASS J04221568+2657060,04 22 15.7021,+26 57 05.913,,M0.7,TTau*,T Tau-type Star,TT*,04 22 15.7042,+26 57 05.899,26 57 05.914,4 22 15.7021,0.00102700558881852,0.031528814800167476,,12.0,-16.0,17.100000381469727,17.17289924621582,13.805999755859375,12.621000289916992,12.029000282287598,,True
2MASS J04333905+2227207,04 33 39.0770,+22 27 20.454,,M1.75,YSO,Young Stellar Object,Y*O,04 33 39.0790,+22 27 20.438,22 27 20.454,4 33 39.0771,0.000987092134945283,0.031165968188934717,,,,,17.17289924621582,13.12600040435791,11.564000129699707,10.708999633789062,,True
YLW 18,16 27 33.1158,-24 41 15.261,,K5-K6,TTau*,T Tau-type Star,TT*,16 27 33.1178,-24 41 15.246,-24 41 15.2612,16 27 33.1159,0.0009976592653881732,0.03034627109492342,,-8.807,-25.717,17.65999984741211,17.177000045776367,11.321999549865723,9.133000373840332,7.806000232696533,15.649999618530273,True
2MASS J04552333+3027366,04 55 23.3302,+30 27 36.538,,M6e,brownD*,Brown Dwarf (M<0.08solMass),BD*,04 55 23.3323,+30 27 36.521,30 27 36.5385,4 55 23.3303,0.0008224298522527033,0.03174229092036384,,4.994,-24.996,,17.18400001525879,13.062000274658203,12.383999824523926,11.965999603271484,,True
YLW 47,16 27 38.3220,-24 36 58.601,,M0,TTau*,T Tau-type Star,TT*,16 27 38.3240,-24 36 58.586,-24 36 58.6017,16 27 38.3221,0.0010070093677790658,0.030894173075380515,,-7.493,-24.737,17.690000534057617,17.194299697875977,11.378000259399414,9.430999755859375,8.270999908447266,15.520000457763672,True
2MASS J16073773-3921388,16 07 37.7338,-39 21 38.749,,M5.5e,YSO,Young Stellar Object,Y*O,16 07 37.7363,-39 21 38.736,-39 21 38.75,16 07 37.7338,0.001113903396406212,0.03176489989459897,17.399999618530273,-11.264,-22.99,17.1200008392334,17.209800720214844,13.239999771118164,12.565999984741211,12.130000114440918,15.680000305175781,True
WISE J044857.90+291354.5,04 48 57.8871,+29 13 54.778,,M,Star,Star,*,04 48 57.8891,+29 13 54.762,29 13 54.7786,4 48 57.8871,0.0006271222915515406,0.03093001169556907,,12.506,-26.427,,17.22170066833496,13.482999801635742,12.177000045776367,11.045000076293945,,True
V* HS Cha,11 08 54.9596,-76 32 41.150,,M5.5e,Orion_V*,Variable Star of Orion Type,Or*,11 08 54.9660,-76 32 41.164,-76 32 41.1508,11 08 54.9597,0.0008784967004150241,0.02568763355447128,20.1200008392334,-22.267,-0.855,18.615999221801758,17.233699798583984,13.0600004196167,12.059000015258789,11.439000129699707,16.649999618530273,True
IRAS 16226-2420,16 25 39.5828,-24 26 34.889,,M2,TTau*,T Tau-type Star,TT*,16 25 39.5848,-24 26 34.874,-24 26 34.8895,16 25 39.5829,0.0009587450095502812,0.030654087963586294,,-5.177,-26.28,16.780000686645508,17.25909996032715,11.892999649047852,10.04699993133545,8.954000473022461,14.84000015258789,True
V* HV Tau C,04 38 35.5121,+26 10 41.334,,K6,TTau*,T Tau-type Star,TT*,04 38 35.5142,+26 10 41.318,26 10 41.3345,4 38 35.5122,0.0010613979792229464,0.031885149652129095,,,,,17.266799926757812,,13.1899995803833,12.319999694824219,14.899999618530273,True
2MASS J04390396+2544264,04 39 03.9603,+25 44 26.337,,M7IVe,YSO,Young Stellar Object,Y*O,04 39 03.9624,+25 44 26.322,25 44 26.3378,4 39 03.9604,0.0014713468102246724,0.03140785365308065,,7.037,-20.606,18.399999618530273,17.270299911499023,12.645999908447266,11.840999603271484,11.368000030517578,15.399999618530273,True
2MASS J16104536-3854547,16 10 45.3654,-38 54 54.727,,<M1,RGB*,Red Giant Branch star,RG*,16 10 45.3679,-38 54 54.713,-38 54 54.7273,16 10 45.3655,0.0007057504152329443,0.031961183040501204,,-5.076,-5.034,17.1299991607666,17.282499313354492,14.3100004196167,13.395000457763672,12.960000038146973,16.049999237060547,True
2MASS J04141188+2811535,04 14 11.8823,+28 11 53.410,,M6e,YSO,Young Stellar Object,Y*O,04 14 11.8844,+28 11 53.396,28 11 53.4102,4 14 11.8823,0.0004207301370046477,0.03085332644233838,,9.077,-23.889,,17.285499572753906,13.16100025177002,12.329000473022461,11.638999938964844,,True
2MASS J04440164+1621324,04 44 01.6418,+16 21 32.365,,M6,low-mass*,Low-mass star (M<1solMass),LM*,04 44 01.6436,+16 21 32.349,16 21 32.3656,4 44 01.6419,0.0010818717371503482,0.030037335887058654,,11.169,-19.144,,17.298900604248047,13.352999687194824,12.767999649047852,12.381999969482422,,True
V* HX Cha B,11 09 53.9384,-76 29 24.807,,,Star,Star,*,11 09 53.9448,-76 29 24.820,-76 29 24.8071,11 09 53.9385,0.000231625064502827,0.025693261012845286,,,,,17.30579948425293,,,,,True
V* IM Cha,11 12 03.5022,-77 26 00.846,,M4.75,Orion_V*,Variable Star of Orion Type,Or*,11 12 03.5090,-77 26 00.859,-77 26 00.8466,11 12 03.5023,0.0007089814208900811,0.025130823254355707,20.079999923706055,-23.332,0.744,,17.311199188232422,13.62600040435791,12.586999893188477,11.842000007629395,,True
PSO J076.2495+31.7503,05 04 59.8915,+31 45 01.431,,M6.3,low-mass*,Low-mass star (M<1solMass),LM*,05 04 59.8936,+31 45 01.414,31 45 01.4314,5 04 59.8915,0.0005442431405642015,0.031577818767461935,,5.657,-24.04,,17.329200744628906,13.569999694824219,13.022000312805176,12.666000366210938,,True
HJM C  7-1,11 09 42.5581,-77 25 57.930,,,YSO,Young Stellar Object,Y*O,11 09 42.5649,-77 25 57.943,-77 25 57.9303,11 09 42.5582,0.0003783971982098226,0.025378880618037433,,-22.603,0.371,,17.359800338745117,12.329000473022461,11.175000190734863,10.552000045776367,15.90999984741211,True
CHSM  1715,11 04 04.2476,-76 39 32.946,,M4.5e,YSO,Young Stellar Object,Y*O,11 04 04.2540,-76 39 32.960,-76 39 32.9465,11 04 04.2477,0.0005473518444481382,0.0257272065525099,19.84000015258789,-23.6,-0.754,,17.37420082092285,12.95300006866455,11.756999969482422,10.902999877929688,,True
CHXR 30A,11 07 59.9490,-77 17 30.542,,K8,YSO,Young Stellar Object,Y*O,11 07 59.9557,-77 17 30.555,-77 17 30.5421,11 07 59.9491,0.00017819850031308845,0.025471585905440984,,-17.848,-2.915,18.299999237060547,17.376100540161133,11.805000305175781,9.920999526977539,9.093999862670898,15.779999732971191,True
2MASS J19004530-3711480,19 00 45.3132,-37 11 48.082,,M8.5,YSO,Young Stellar Object,Y*O,19 00 45.3149,-37 11 48.060,-37 11 48.0821,19 00 45.3133,0.0009793264169763731,0.029359697741951907,,5.47,-29.134,,17.378000259399414,12.923999786376953,12.342000007629395,11.902999877929688,,True
IRAS 0437+257P08,04 39 55.7451,+25 45 01.943,,B5,Candidate_TTau*,T Tau star Candidate,TT?,04 39 55.7471,+25 45 01.927,25 45 01.9431,4 39 55.7451,0.0004905675292537986,0.031018206530446357,,6.192,-20.343,,17.381200790405273,10.668000221252441,8.052000045776367,6.275000095367432,,True
2MASS J19011149-3645337,19 01 11.4983,-36 45 33.839,,,YSO,Young Stellar Object,Y*O,19 01 11.5000,-36 45 33.817,-36 45 33.8396,19 01 11.4984,0.0010270026436779503,0.02987389573074469,,3.121,-25.632,18.066999435424805,17.382400512695312,13.375,12.496000289916992,12.128999710083008,15.779000282287598,True
2MASS J18564024-3655203,18 56 40.2419,-36 55 20.447,,,YSO,Young Stellar Object,Y*O,18 56 40.2436,-36 55 20.426,-36 55 20.4478,18 56 40.2419,0.0008639195539106765,0.029615482965165543,,3.305,-28.2,,17.38909912109375,13.670000076293945,13.07699966430664,12.817999839782715,,True
2MASS J04451654+3141202,04 45 16.5354,+31 41 20.318,,M6.6,low-mass*,Low-mass star (M<1solMass),LM*,04 45 16.5375,+31 41 20.302,31 41 20.3189,4 45 16.5354,0.0008581896221250632,0.03161145947153873,,5.096,-24.491,,17.395299911499023,13.470999717712402,12.791999816894531,12.454999923706055,,True
[SS94] V410 X-ray 7,04 18 42.4993,+28 18 49.913,,,TTau*,T Tau-type Star,TT*,04 18 42.5014,+28 18 49.899,28 18 49.9132,4 18 42.4994,0.0009611498849801548,0.030351702634589875,,12.128,-24.146,18.020000457763672,17.405500411987305,11.923999786376953,10.095000267028809,9.256999969482422,15.420000076293945,True
2MASS J19021201-3703093,19 02 12.0192,-37 03 09.425,,M4.5,YSO,Young Stellar Object,Y*O,19 02 12.0209,-37 03 09.404,-37 03 09.426,19 02 12.0192,0.001097405154670447,0.0295658058424589,,5.327,-29.168,,17.40760040283203,13.407999992370605,12.581999778747559,12.145000457763672,,True
2MASS J11065939-7530559,11 06 59.4100,-75 30 55.955,,M5.25,YSO,Young Stellar Object,Y*O,11 06 59.4160,-75 30 55.968,-75 30 55.9552,11 06 59.41,0.00018977298391379785,0.0258264784724585,,-22.352,1.032,,17.427099227905273,13.729999542236328,13.13599967956543,12.696999549865723,15.789999961853027,True
2MASS J04221332+1934392,04 22 13.3188,+19 34 39.263,,M8.5,TTau*,T Tau-type Star,TT*,04 22 13.3207,+19 34 39.248,19 34 39.2631,4 22 13.3188,0.0004439998779905162,0.030399449411749373,,6.416,-12.41,,17.43199920654297,12.859999656677246,12.053999900817871,11.524999618530273,,True
BYB 43,11 09 47.3857,-77 26 29.196,,M3.25e,YSO,Young Stellar Object,Y*O,11 09 47.3925,-77 26 29.209,-77 26 29.1967,11 09 47.3858,0.0007572924561141722,0.025122393580368187,,-21.861,1.078,,17.446699142456055,12.767000198364258,11.227999687194824,10.236000061035156,16.6200008392334,True
2MASS J10580597-7711501,10 58 05.9725,-77 11 50.172,,M5.25,YSO,Young Stellar Object,Y*O,10 58 05.9789,-77 11 50.186,-77 11 50.1727,10 58 05.9725,0.0007230625395227225,0.025021585526927872,,-23.199,2.441,,17.458200454711914,13.404999732971191,12.694000244140625,12.272000312805176,15.890000343322754,True
2MASS J16313124-2426281,16 31 31.2517,-24 26 28.467,,,YSO,Young Stellar Object,Y*O,16 31 31.2537,-24 26 28.452,-24 26 28.4675,16 31 31.2518,0.0009093224202716744,0.03073658652697605,,,,,17.46430015563965,13.758999824523926,12.918999671936035,12.62600040435791,,True
2MASS J04154269+2909558,04 15 42.6916,+29 09 56.001,,M6.5,YSO,Young Stellar Object,Y*O,04 15 42.6938,+29 09 55.987,29 09 56.0011,4 15 42.6917,0.0007709370544741709,0.03139371133870422,,12.183,-16.6,,17.465999603271484,12.729999542236328,11.8100004196167,11.288000106811523,,True
BKLT J162636-241554,16 26 36.8346,-24 15 51.848,,K7-M1,YSO,Young Stellar Object,Y*O,16 26 36.8367,-24 15 51.833,-24 15 51.8482,16 26 36.8347,0.0012264503261948671,0.031410194531809994,,-5.173,-27.464,17.3700008392334,17.488500595092773,12.65999984741211,10.833999633789062,9.58899974822998,15.670000076293945,True
2MASS J16222099-2304025,16 22 21.0065,-23 04 02.356,,,Candidate_TTau*,T Tau star Candidate,TT?,16 22 21.0085,-23 04 02.342,-23 04 02.3567,16 22 21.0066,0.0011114689104715265,0.030531771672645158,,-9.69,-26.019,,17.515600204467773,14.656999588012695,13.868000030517578,13.571999549865723,,True
2MASS J11062554-7633418,11 06 25.5204,-76 33 41.844,,M5.25-6,YSO,Young Stellar Object,Y*O,11 06 25.5268,-76 33 41.857,-76 33 41.8441,11 06 25.5205,0.00027620809597825606,0.025545440140575495,20.700000762939453,-22.213,-1.04,,17.534799575805664,13.008999824523926,12.006999969482422,11.486000061035156,15.880000114440918,True
2MASS J15450887-3417333,15 45 08.8747,-34 17 33.460,,M5.5,YSO,Young Stellar Object,Y*O,15 45 08.8771,-34 17 33.449,-34 17 33.461,15 45 08.8748,0.0012008386035577694,0.031421590023832935,,-15.585,-21.808,18.729999542236328,17.565099716186523,12.194000244140625,10.640000343322754,9.706000328063965,,True
2MASS J10533978-7712338,10 53 39.7612,-77 12 33.943,,M2.75,TTau*,T Tau-type Star,TT*,10 53 39.7676,-77 12 33.958,-77 12 33.9437,10 53 39.7613,0.0007784573103552358,0.02535429153873726,19.3799991607666,-22.98,3.329,17.8499991607666,17.578800201416016,13.281999588012695,12.144000053405762,11.583999633789062,15.5600004196167,True
2MASS J19011893-3658282,19 01 18.9406,-36 58 28.248,,M4.5,YSO,Young Stellar Object,Y*O,19 01 18.9424,-36 58 28.226,-36 58 28.2481,19 01 18.9407,0.0011902812525674065,0.03003421271036911,,4.069,-27.036,18.399999618530273,17.58769989013672,12.833999633789062,11.244999885559082,10.45300006866455,,True
NAME ZZ Tau IRS,04 30 51.7198,+24 41 47.604,,M5IVe,TTau*,T Tau-type Star,TT*,04 30 51.7218,+24 41 47.589,24 41 47.6042,4 30 51.7198,0.0005065969115868755,0.030795303654795332,17.100000381469727,11.52,-24.497,,17.588499069213867,12.842000007629395,11.4350004196167,10.314000129699707,,True
[BLH2002] KPNO-Tau  3,04 26 29.3901,+26 24 13.722,,M6Ve,low-mass*,Low-mass star (M<1solMass),LM*,04 26 29.3922,+26 24 13.707,26 24 13.722,4 26 29.3902,0.0009674112152934994,0.03110852307986433,20.23900032043457,10.898,-17.854,,17.60110092163086,13.322999954223633,12.50100040435791,12.079000473022461,,True
ITG 33A,04 41 08.2613,+25 56 07.368,,M3,TTau*,T Tau-type Star,TT*,04 41 08.2633,+25 56 07.352,25 56 07.3684,4 41 08.2613,0.0006956576111674214,0.03108282624719,,7.197,-21.951,,17.60260009765625,13.734999656677246,12.145999908447266,11.086999893188477,,True
2MASS J04221644+2549118,04 22 16.4374,+25 49 11.813,,M8IVe,low-mass*,Low-mass star (M<1solMass),LM*,04 22 16.4394,+25 49 11.799,25 49 11.8139,4 22 16.4374,0.0008832425949989408,0.03076698053176855,,14.126,-19.654,,17.617000579833984,13.059000015258789,12.362000465393066,11.935999870300293,,True
CHSM  9484,11 07 11.8067,-76 25 50.011,,M5e,Candidate_YSO,Young Stellar Object Candidate,Y*?,11 07 11.8130,-76 25 50.025,-76 25 50.0118,11 07 11.8067,0.0007547830113229497,0.02577279307838979,,-22.298,-0.48,,17.626699447631836,13.640000343322754,12.880000114440918,12.477999687194824,16.06999969482422,True
NAME THA 15-42B,16 10 51.4489,-38 53 12.990,,M2,YSO,Young Stellar Object,Y*O,16 10 51.4514,-38 53 12.977,-38 53 12.9907,16 10 51.449,0.0011217487564561376,0.031491178994703134,,-0.083,-6.311,,17.63089942932129,,,,,True
NAME THA 15-42B,16 10 51.4489,-38 53 12.990,,M2,YSO,Young Stellar Object,Y*O,16 10 51.4514,-38 53 12.977,-38 53 12.9907,16 10 51.449,0.0011217487564561376,0.031491178994703134,,-0.083,-6.311,,17.63089942932129,,,,,True
2MASS J04242090+2630511,04 24 20.8977,+26 30 51.064,,M6.5,YSO,Young Stellar Object,Y*O,04 24 20.8998,+26 30 51.050,26 30 51.0649,4 24 20.8978,0.0013816747564498533,0.03098485107149296,,9.255,-27.366,,17.63559913635254,13.484999656677246,12.807999610900879,12.432999610900879,,True
EM* LkHA  358,04 31 36.1396,+18 13 43.176,,M0.9,TTau*,T Tau-type Star,TT*,04 31 36.1415,+18 13 43.161,18 13 43.177,4 31 36.1397,0.001236102004022174,0.030775241103713474,19.0,11.776,-17.996,17.65,17.695100784301758,12.789999961853027,10.92199993133545,9.687000274658203,,True
2MASS J04484189+1703374,04 48 41.8927,+17 03 37.254,,M7.8,TTau*,T Tau-type Star,TT*,04 48 41.8946,+17 03 37.238,17 03 37.2544,4 48 41.8928,0.0011771723012990254,0.03084436949442925,,4.927,-14.024,,17.704299926757812,13.520999908447266,12.925000190734863,12.487000465393066,,True
2MASS J04565141+2939310,04 56 51.4123,+29 39 31.185,,M7,low-mass*,Low-mass star (M<1solMass),LM*,04 56 51.4144,+29 39 31.168,29 39 31.1852,4 56 51.4124,0.001027393867476726,0.03146567396993272,,5.456,-24.725,,17.734899520874023,13.73900032043457,13.166999816894531,12.746999740600586,,True
NAME IRAS 05022+2527B,05 05 22.9683,+25 31 32.023,,,Star,Star,*,05 05 22.9702,+25 31 32.006,25 31 32.024,5 05 22.9683,0.0009582052969987945,0.03131303655207772,,2.418,-18.521,,17.763700485229492,,,,,True
ITG 17,04 39 47.4820,+26 01 40.693,,M7,YSO,Young Stellar Object,Y*O,04 39 47.4840,+26 01 40.678,26 01 40.6936,4 39 47.482,0.0007372765324380166,0.03081127317597822,21.555999755859375,6.628,-21.865,,17.77989959716797,12.168000221252441,11.008000373840332,10.331999778747559,15.779999732971191,True
